name,coalition,num,party_1,party_2,start,finish
Agualsaca Guamán José Clemente,UNES,2,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Andrade Muñoz Wilma Piedad,ID,70,ID,ID,14 de mayo de 2021,17 de mayo de 2023
Arias Arias Nathalie Andrea,BAN,74,CREO,CREO,14 de mayo de 2021,17 de mayo de 2023
Cabezas Castillo Janeth Paola,UNES,15,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Cordero Cuesta Ana Belén,BAN,115,CREO,CREO,21 de mayo de 2021,17 de mayo de 2023
Corral Álava Raisa Irina,UNES,19,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Correa Delgado Pierina Sara Mercedes,UNES,20,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Kronfle Kozhaya Henry Fabián,PSC,89,PSC,PSC,14 de mayo de 2021,17 de mayo de 2023
Monge Ortega César Santiago,BAN,115,CREO,CREO,14 de mayo de 2021,21 de mayo de 2021
Quishpe Lozano Salvador,MUPP,65,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Sánchez Gallegos Bertha Patricia,MUPP,67,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Ulcuango Farinango Ricardo,UNES,59,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Vanegas Cortázar Ricardo Xavier,MUPP,121,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Villavicencio Valencia Fernando Alcibiades,Sin bancada,136,PSE - MC,Ind.,14 de mayo de 2021,17 de mayo de 2023
Viteri Jiménez Nathalie María,PSC,128,PSC,PSC,14 de mayo de 2021,17 de mayo de 2023
Zambrano Ortiz Eitel James,BAN,127,ID,CREO,14 de mayo de 2021,17 de mayo de 2023
Segovia Mejía Luis Bruno,Sin bancada,69,MUPP - UP,Ind.,14 de mayo de 2021,17 de mayo de 2023
Sánchez Urgiles Sandra Sofía,MUPP,68,MUPP - UP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Lloret Valdivieso Juan Cristóbal,UNES,40,CD - FCS,RC,14 de mayo de 2021,8 de septiembre de 2022
Méndez Rojas Fernanda Mabel,UNES,40,CD - FCS,RC,8 de septiembre de 2022,17 de mayo de 2023
Cabrera Palacios Hugo Marcelo,BAN,83,Igualdad - Participa,Igualdad,14 de mayo de 2021,24 de mayo de 2021
Pesántez Salto Diana Elizabeth,Sin bancada,83,Igualdad - Participa,Igualdad,24 de mayo de 2021,17 de mayo de 2023
Fajardo Campoverde Rodrigo Olmedo,Sin bancada,77,ID,ID,14 de mayo de 2021,17 de mayo de 2023
Chimbo Chimbo Segundo José,MUPP,84,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Pazmiño Arregui Mireya Katerine,Sin bancada,51,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Abedrabbo García Jorge Farah,PSC,72,SUMA - PSC,PSC,14 de mayo de 2021,17 de mayo de 2023
Abad Verdugo Joel Eduardo,MUPP,5,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
Luna Arévalo Blasco Remigio,UNES,41,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Saquicela Espinoza Javier Virgilio,Sin bancada,119,MDS,Ind,14 de mayo de 2021,17 de mayo de 2023
Velasco Erazo Pedro Ramiro,BAN,135,Avanza,Avanza,14 de mayo de 2021,17 de mayo de 2023
Vallejo Ayala José Luis,UNES,61,CD - FCS,RC,14 de mayo de 2021,17 de mayo de 2023
Narváez Garzón Ramiro Vladimir,ID,110,ID,ID,14 de mayo de 2021,17 de mayo de 2023
Curicama Guamán Mariano,BAN,93,MINGA,MINGA,14 de mayo de 2021,24 de marzo de 2023
Estrada Vizuete Katherine Vanessa,BAN,93,MINGA,MINGA,24 de marzo de 2023,17 de mayo de 2023
Lucero Sisa Rafael,MUPP,47,MUPP,MUPP,14 de mayo de 2021,17 de mayo de 2023
