fecha_presentacion,proyecto_ley,id,proponente,cargo,comision,estado,texto_proyecto_ley_pdf_presente,texto_proyecto_ley,texto_1debate_pdf_presente,texto_1debate,texto_2debate_pdf_presente,texto_2debate,texto_aprobado_pleno_pdf_presente,texto_aprobado_pleno,objecion_parcial_pdf_presente,objecion_parcial,objecion_total_pdf_presente,objecion_total,texto_definitivo_pleno_pdf_presente,texto_definitivo_pleno,registro_oficial_pdf_presente,registro_oficial
2024-08-02,Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Carrera Sanitaria,AN-2024-3009,HERRERA GOMEZ ANA CECILIA,ASAMBLEÍSTA/S,NA,No Calificado / Archivado,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/232282cb-b660-4ea5-8782-b65a3f513351/453810-samaniego.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-02,Proyecto de Ley Orgánica Reformatoria de la Ley de Educación Superior para regular el patrimonio y requisitos de creación de las instituciones de Educación Superior,AN-2024-3008,RECALDE ALAVA ECKENNER READER,ASAMBLEÍSTA/S,"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3e0746a3-8cc1-42e7-953c-524b2fbfa534/453765-recalde.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-02,Proyecto de Ley Orgánica Reformatoria a la Ley de Defensa del Trabajador Autónomo y del Comerciante Minorista,AN-2024-3010,SAMANIEGO MAIGUA  FRANKLIN OMAR,ASAMBLEÍSTA/S,NA,No Calificado / Archivado,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b715df52-9c08-441e-be0e-8b8a7849c429/453797-herrera.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley Reformatoria al Código Orgánico Integral Penal para regular la proporcionalidad de la sanción de las contravenciones de tránsito,AN-2024-3004,PARRA VILLACIS JONATHAN EMANUEL,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/6c212b84-5943-4dd2-ad7e-a55d52e3f1ad/453676-pe%F1afiel.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley Reformatoria a la Ley de Minería para garantizar la redistribución de recursos provenientes de patentes de conservación para concesión minera entre los Gobiernos Autónomos Descentralizados Parroquiales Rurales,AN-2024-3005,"VALLADAREZ GONZALEZ HECTOR GUILLERMO, CORDOVA COMPS PASCACIO  Y RIVADENEIRA ANDREA",ASAMBLEÍSTA/S,NA,No Calificado / Archivado,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b20c33de-b8f5-4fbb-9e06-343e69e4709a/pp%20-%20proyecto%20de%20ley%20453680-posso.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley Reformatoria a la Ley Orgánica del Concejo de Participación Ciudadana y Control Social,AN-2024-3006,SAMANIEGO MAIGUA  FRANKLIN OMAR,ASAMBLEÍSTA/S,"Comisión de Transparencia, Participación Ciudadana y Control Social",En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ea8a76f9-ec58-4356-918d-040a5648ef64/pp%20-%20proyecto%20de%20ley%20453684-corral.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Educación Intercultural para un mejor acceso a la educación en la provincia de Galápagos y las zonas de difícil acceso,AN-2024-3007,AGUAS FLORES MILTON JAVIER,ASAMBLEÍSTA/S,"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/37692d77-fd73-4ae6-9602-774d49bebe46/453713-samaniego.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal,AN-2024-3002,POSSO NARANJO LUCIA ANABELLE,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d03394db-7c7e-4bd3-b3ee-0e8ad4f3c489/453707-valladarez.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Servicio Exterior,AN-2024-3001,CRUZ ZAMBRANO CARLA MAGALY,ASAMBLEÍSTA/S,NA,En trámite / Revisión en el Consejo de Administración Legislativa,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ac0184ff-feb2-4341-b327-7f3243c0d7f7/453714-aguas.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Reforma al Código Orgánico Integral Penal,AN-2024-3000,PEÑAFIEL CEDEÑO JORGE ANDRÉS Y BEDON ALVAREZ GABRIEL HUMBERTO,ASAMBLEÍSTA/S,NA,No Calificado / Archivado,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f42ee0ae-d188-428d-ae14-cff667ce3aec/PP-PRO~1.PDF,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-08-01,Proyecto de Ley de Ejercicio Profesional del Trabajo Social,AN-2024-3003,CORRAL ALAVA RAISA IRINA,ASAMBLEÍSTA/S,Comisión del Derecho al Trabajo y a la Seguridad Social,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ac0184ff-feb2-4341-b327-7f3243c0d7f7/453714-aguas.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-07-31,"Proyecto de Ley Orgánica Reformatoria a varias leyes para el fomento del deporte, educación física y recreación",AN-2024-2998,SALAZAR HIDALGO MONICA DE JESUS,ASAMBLEÍSTA/S,NA,No Calificado / Archivado,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/54bdb16c-ef47-464e-acaf-5b832c3c837e/453618-ugsha.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-07-31,"Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Transporte Terrestre, Tránsito y Seguridad Vial y al Código Orgánico Integral Penal",AN-2024-2999,UGSHA TOAQUIZA CESAR AUGUSTO,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4141957d-1f0d-4a9f-8cb8-d2ede290f73a/453622-salazar.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-07-31,"Proyecto de Ley Orgánica Reformatoria al Código Orgánico de la Función Judicial para la protección de víctimas, testigos y otros participantes del proceso penal",AN-2024-2997,GALARZA AÑAZCO ANA MERCEDES,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/dc679268-250d-4b5f-8b69-dfe2c8101805/453600-galarza.pdf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-07-30,"Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización COOTAD para fortalecer la seguridad ciudadana",AN-2024-2994,ORDOÑEZ BRAVO STEVEN LEONARDO,ASAMBLEÍSTA/S,Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/85dab65c-95ea-4099-847a-5ed94f16fc5d/PP-PRO~1.PDF,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2024-07-30,Proyecto de Ley Orgánica Reformatoria de varios cuerpos legales para garantizar la igualdad de derechos en el retiro voluntario y jubilación de los trabajadores del sector público,AN-2024-2996,OCHOA SUAREZ KARLA PIEDAD,ASAMBLEÍSTA/S,Comisión del Derecho al Trabajo y a la Seguridad Social,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/eb961397-7578-4dc6-8ad3-1f223417f86d/PPPROY~1.PDF,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
