fecha_presentacion,proyecto_ley,id,proponente,cargo,comision,estado,texto_proyecto_ley_pdf_presente,texto_proyecto_ley,texto_1debate_pdf_presente,texto_1debate,texto_2debate_pdf_presente,texto_2debate,texto_aprobado_pleno_pdf_presente,texto_aprobado_pleno,objecion_parcial_pdf_presente,objecion_parcial,objecion_total_pdf_presente,objecion_total,texto_definitivo_pleno_pdf_presente,texto_definitivo_pleno,registro_oficial_pdf_presente,registro_oficial,termino_legislativo,matched_name,matching_score,coalition,party_2
2024-03-20,Proyecto de Ley Reformatoria a varios cuerpos normativos para garantizar el acceso a una justicia especializada de mujeres víctimas de violencia sexual,AN-2024-2794,veloz ramirez rebeca viviana,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,Archivado / Registro de Objeción Total,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/41073a44-da70-4750-a843-d323f1d8188e/PP-PRO~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/563a1cef-2508-4c26-b20b-9582ac9bdb36/inf-1d-judicial-432578-paz_compressed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f9c12513-8abf-4fd4-8f4a-86de9fcd31a5/2d%20-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c198d941-b28f-4e22-adc5-7f61c5151e49/ap-%20proyecto%20al%20Ejecutivo.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/23e37f96-77bf-499b-9019-61dbf065997b/objecion%20total%20-%20anexos_449203_merged.pdf,0,,0,,5.0,veloz ramirez rebeca viviana,100.0,UNES,RC
2024-03-08,"Proyecto de Ley Reformatoria a la Ley Orgánica Electoral y de Organizaciones Políticas de la República del Ecuador, Código de la Democracia",AN-2024-2786,castillo campoverde alexandra andrea,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/964b3b70-246a-4135-94f0-a08aa8976836/444737-matovelle.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c06839a0-e908-4a32-b33f-6697cc8f2f6f/inf-1d-judicial-432578-paz_compressed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d3e060a7-e8b2-49cd-823e-3ea3014b7e29/2d%20-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/27ad1e10-5b72-4d3b-873f-cbae255e00ed/ap-%20proyecto%20al%20Ejecutivo.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4cfc745e-59fe-42d1-ba97-0aa9ccbe78a9/objecion%20total%20-%20anexos_449203_merged.pdf,0,,0,,5.0,plaza castillo lenin,86.0,Sin Bancada,Ind.
2024-03-05,Proyecto de Ley Orgánica de Inteligencia,AN-2024-2776,alarcon bueno ines margarita,ASAMBLEÍSTA/S,"Comisión de Soberanía, Integración y Seguridad Integral",En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/57da6184-de52-42d8-bf6c-8bcb3327d0ca/PP-PRO~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3ede42ee-b589-431f-a2ef-55d5f02e310b/inf-1d-judicial-432578-paz_compressed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4a5eb38c-d588-46fc-a48d-152d67dac335/2d%20-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/99e8c987-c076-4589-917a-1b9b2cd8501a/ap-%20proyecto%20al%20Ejecutivo.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/cd120ddf-662e-4da8-a448-2995f13bb72e/objecion%20total%20-%20anexos_449203_merged.pdf,0,,0,,5.0,,,,ADN
2024-02-15,"Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal para recategorizar las contravenciones de tránsito, Fortalecer la Seguridad Vial Preventiva y Reducir la Carga Procesal en Materia de Tránsito dentro de los Juzgados del País",AN-2024-2757,castro piedra adrian ernesto,ASAMBLEÍSTA/S,Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a1a64cca-f614-4438-80f6-61ef27e3a2d8/pp-%20proyecto%20ref%20cod%20trabajo%20443206-ter%E1n.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3e7d47d7-ea7d-4980-b77c-c6934acc10fd/1D-INF~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f3d3fab8-979f-42df-b3cd-620fdece021a/2DEBAT~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/8648c6d2-6426-4adf-9bb6-616324d4c030/AP-LEY~1.PDF,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/27056fd6-ad6e-4027-844a-600cc36d5a92/OBJECION%20TOTAL%20oficio_no._t.0448-sgj-24-0475.pdf,0,,0,,5.0,alex guaman castro,86.0,PAIS,PAIS
2024-01-11,Proyecto de Ley Orgánica Reformatoria al Código Organico General de Procesos,AN-2024-2713,samaniego maigua  franklin omar,ASAMBLEÍSTA/S,Comisión de Justicia y Estructura del Estado,En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/92ee7956-82c3-4b84-982f-c5cee8006258/PP-PRO~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f4cc9707-1fef-453d-b574-1b8a8c508c22/1d%20-%20proyecto%20para%20enfrentar%20el%20conflicto%20armad.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/6885343c-1ca4-4e7f-a702-69ab02c11528/2d-AN-CDEP-2024-0058-M.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/013b0c58-8e95-45ac-85a7-9ecd93fdc456/ap-Ley%20organica%20conflicto%20armado%20y%20crisis%20social%20-%20scan.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/5bfb63af-6525-4209-960d-38e8339a6ed1/op%20-%20ley%20conflicto%20armado%20442739-noboa.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/44d7bb22-5c97-423f-ad87-c4f02f182ce9/inf%20no%20vinc%20a%20la%20obj%20parcial%20442789-merizalde.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/1005f6e2-9435-4ebd-af25-0c03c10a1ba6/RO%20Ley%20conflicto%20armado.pdf,5.0,samaniego maigua franklin omar,98.0,Revolución Ciudadana,FCS
2023-11-29,PROYECTO DE LEY ORGANICA DE DEFENSA CONTRA INCENDIOS,AN-2023-2680,vega quezada cristhian,ASAMBLEÍSTA/S,Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio,Archivado / Registro de Objeción Total,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3905ae3f-1c2b-42cc-87c1-5d7be52a7a7d/pp%20PROYECTO%20DE%20LEY%20ORGANICA%20DE%20DEFENSA%20CONTRA%20INCENDIOS-2-25.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/61ef7906-597a-4d17-8535-c12c3b2b4c99/1d%20-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3d7b9ccd-7c9e-4f60-aadb-11b1defb6897/2d-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/77dc0119-2adc-422b-97a1-e6282220bdb7/ap%20-%20texto%20aprobado%20para%20objecion.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/51f3d337-ff6a-4dc9-aa21-9c8565371b90/objecion%20total.pdf,0,,0,,5.0,,,,RC
2023-05-09,Proyecto de Ley Reformatoria a la Ley de Desarrollo de Puerto Bolívar,AN-2023-2660,moreira cordova johanna nicole,ASAMBLEÍSTA/S,"Comisión de Desarrollo Económico, Productivo y la Microempresa",En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/7d3f3803-d446-4163-b0a8-df1d0530af4b/pp-planif-agrop-437197-moreira-proyecto-de-ley.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/72ea0840-9a4b-401b-becc-40dbf482a6ce/1D%20-%20INFORME%20COMISION.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/2f11a9cb-8078-448f-801f-6d1107a61066/2D%20-%20INFORME%20COMISION.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/64f78241-df4a-4520-8755-5d6bfb95f66a/AP-LEY~1.PDF,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d05666f9-e358-4fd9-93ee-51baacc2b474/OBJECION%20TOTAL%20461124-noboa.pdf,0,,0,,4.0,moreira cordova johanna nicole,100.0,ID,ID
2023-03-23,Proyecto de Ley Orgánica para Garantizar la Salud Mental,AN-2023-2611,cabrera chacon sara noemi,ASAMBLEÍSTA/S,,En trámite / Revisión en el Consejo de Administración Legislativa,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/20d8fcd4-4c2b-4418-99f3-c4eb0d560cbe/pp-ingap-434615-saquicela-proyecto-de-ley.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/53d40884-b139-42c3-8612-6dac15a6fac3/EBATE_~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/963621c1-0a44-409a-92b5-e58a875b30cc/2D-INF~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/5ee6316f-4df4-4957-b3fd-6f84fd390763/AP-REM~1.PDF,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/52155316-9c9e-4eb5-b87e-d523f8c90818/VETO_T~1.PDF,0,,0,,4.0,cabrera chacon sara noemi,100.0,UNES,RC
2023-03-07,Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Discapacidades para Fortalecer la Accesibilidad Universal y Cognitiva,AN-2023-2594,ortiz villavicencio johanna cecibel,ASAMBLEÍSTA/S,"Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",En trámite / Analisis de la respuesta emitida por la Corte Constitucional,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0d7189f3-c667-48ce-af56-5fd3a4e89deb/pp-discap-jortiz-an-ovjc-2023-0031-m.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3c300209-12aa-4f38-87e6-906179a0f390/INFORME%20PARA%20PRIMER%20DEBATE.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ecce70d9-6a87-44a4-b539-41dfff4f0421/2D-INF~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/60a377c3-877c-4e54-b304-59d20ca0a6e4/AP-LEY%20ORGANICA%20DE%20LAS%20PERSONAS%20CON%20DISCAPACIDAD.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0f51b74e-9312-4321-a0a8-88f87e9023ac/objecion%20%20461116-noboa.pdf,0,,0,,0,,4.0,ortiz villavicencio johanna cecibel,100.0,UNES,RC
2023-02-08,Proyecto de Ley Orgánica de Salud Mental,AN-2023-2577,onofa cardenas daniel sigifredo,ASAMBLEÍSTA/S,Comisión del Derecho a la Salud y Deporte,En trámite / Revisión en Comisión de la Objeción,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ce4aa667-2636-40e2-b0c7-b57bd6b787c2/pp-sal-ment-432415-onofa-proyecto-de-ley_compressed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/e9b6b302-e9f7-42a4-9899-8cbcb84aa04c/proyecto%20unificado%20en%20segundo%20debate.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/804d73f9-4323-42bc-a5b6-178a9417cb8b/3.-%20Memorando%20Nro.%20AN-CDSD-2023-0058-M.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f2fffa83-def9-4214-8e15-3e8c04459524/oficio_no_pan-sevj-2023-081.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a8ec5bee-3b58-4632-8777-e39068a72c1c/objecion_ley_org%C1nica_de_salud_mental_(20220607)-signed.pdf,0,,0,,0,,4.0,onofa cardenas daniel sigrifredo,98.0,ID,ID
